"C0000100","C0000200","C0005400","C0005700","C0007000","C0328600"
116006,1160,2,2001,37,-3
116101,1161,1,1975,18,96
116102,1161,1,1978,21,108
116201,1162,1,1987,23,70
116301,1163,2,1980,21,129
116302,1163,1,1986,27,151
116401,1164,2,1981,20,119
116402,1164,1,1989,28,136
116501,1165,1,1979,20,112
116502,1165,1,1981,23,160
116503,1165,1,1982,24,140
116601,1166,2,1984,22,96
116602,1166,2,1989,28,93
116701,1167,2,1988,25,-2
116702,1167,1,1990,27,-2
116801,1168,1,1981,20,126
117001,1170,1,1985,24,101
117002,1170,1,1987,25,100
117003,1170,1,1990,29,121
117004,1170,2,1992,31,96
117201,1172,2,1983,23,139
117202,1172,1,1984,24,125
117203,1172,1,1987,27,136
117701,1177,1,1988,27,105
117702,1177,1,1992,31,-3
117901,1179,1,1985,22,108
117902,1179,1,1988,25,126
118101,1181,1,1983,26,104
118102,1181,1,1988,31,107
118103,1181,2,1995,38,119
118401,1184,2,1985,28,124
118402,1184,2,1987,30,114
118403,1184,1,1999,41,112
118701,1187,1,1987,27,137
118702,1187,2,1991,30,121
118703,1187,2,1993,32,123
118901,1189,2,1975,16,128
118902,1189,1,1977,18,94
119101,1191,2,1983,22,95
119501,1195,1,1996,34,107
119502,1195,2,1999,37,107
119901,1199,2,1977,19,91
119902,1199,1,1988,30,89
120001,1200,1,1988,28,131
120002,1200,1,1991,31,137
120201,1202,1,1982,22,109
120202,1202,1,1985,26,116
120301,1203,1,1987,26,-3
120302,1203,1,1989,29,118
120701,1207,2,1979,19,107
120702,1207,2,1984,25,108
120901,1209,1,1976,18,82
120902,1209,2,1984,26,96
120903,1209,2,1987,29,130
121001,1210,2,1975,13,101
121002,1210,2,1977,15,88
121003,1210,1,1986,24,127
121004,1210,2,1988,27,-3
121005,1210,1,1989,28,49
121006,1210,1,1989,28,48
121201,1212,2,1974,16,103
121202,1212,1,1993,35,100
121301,1213,1,1981,20,117
121302,1213,1,1983,22,112
121401,1214,2,1982,17,112
121402,1214,1,1985,20,112
121403,1214,2,1994,29,147
121404,1214,1,1996,31,-1
121601,1216,1,1977,16,86
121602,1216,2,1980,19,72
121603,1216,2,1981,21,69
121604,1216,2,1988,27,101
122001,1220,2,1984,20,114
122002,1220,1,1988,24,-3
122003,1220,1,1996,32,-3
122101,1221,2,1975,15,84
122102,1221,1,1981,21,142
122103,1221,1,1989,29,152
122301,1223,2,1991,27,85
122302,1223,1,1993,29,106
122401,1224,2,1976,17,103
122402,1224,1,1980,21,113
122403,1224,2,1987,28,128
122501,1225,1,1973,16,114
122502,1225,1,1982,24,115
122601,1226,1,1973,15,141
122602,1226,2,1982,24,122
122701,1227,1,1975,16,118
122702,1227,2,1977,18,109
122703,1227,1,1982,24,132
122704,1227,1,1986,28,118
122801,1228,2,1982,20,106
122802,1228,1,1983,22,106
122803,1228,2,1993,32,54
123001,1230,1,1979,21,101
123002,1230,1,1983,25,106
123101,1231,2,1997,33,99
123102,1231,2,1999,35,103
123301,1233,1,1980,20,135
123302,1233,1,1985,25,112
123401,1234,1,1990,29,121
123402,1234,1,2001,40,-3
123601,1236,1,1992,29,113
123602,1236,2,1994,31,-3
123603,1236,1,2001,37,-3
123801,1238,1,1978,20,102
123802,1238,2,1980,22,108
123803,1238,2,1981,23,123
123804,1238,2,1984,26,108
123805,1238,1,1987,29,-3
124101,1241,1,1980,19,-2
124102,1241,1,1985,24,121
124103,1241,1,1987,26,105
124104,1241,2,1989,28,64
124201,1242,2,1991,27,138
124401,1244,2,1982,18,103
124402,1244,2,1985,21,128
124403,1244,2,1986,22,-3
124601,1246,2,1984,21,118
124602,1246,1,1985,22,-2
125001,1250,1,1979,22,136
125002,1250,2,1985,28,127
125003,1250,2,1991,34,-3
125101,1251,1,1981,18,106
125301,1253,2,1987,23,137
125401,1254,2,1984,22,97
125402,1254,2,1986,24,120
125403,1254,1,1992,31,101
125404,1254,1,1992,31,97
125501,1255,1,1997,34,101
125801,1258,2,1985,23,117
125802,1258,2,1987,25,122
125803,1258,2,1988,26,131
125804,1258,1,1990,28,136
125901,1259,2,1983,25,129
126101,1261,2,1989,31,119
126301,1263,1,1985,24,126
126901,1269,2,1982,21,82
126902,1269,1,1984,24,100
126903,1269,1,2000,40,49
127001,1270,1,1993,31,107
127002,1270,2,1997,35,-3
127101,1271,1,1987,23,94
127701,1277,1,1991,26,125
127901,1279,1,1983,24,128
127902,1279,1,1986,27,114
127903,1279,1,1988,29,105
128601,1286,1,1988,27,105
128602,1286,2,1993,32,116
129001,1290,1,1975,17,102
129002,1290,2,1985,26,104
129301,1293,1,1974,15,80
129302,1293,1,1982,23,102
129303,1293,1,1984,24,126
129501,1295,1,1988,23,120
129502,1295,1,1989,25,128
129503,1295,1,1991,27,163
129504,1295,2,2000,35,-3
129601,1296,2,1985,23,100
129602,1296,1,1988,26,112
129701,1297,1,1977,20,114
129702,1297,2,1981,23,154
129703,1297,1,1985,27,120
129801,1298,2,1983,20,102
129802,1298,1,1987,24,-3
130201,1302,1,1979,17,125
130401,1304,1,1986,22,93
130402,1304,2,1992,27,110
130403,1304,1,1993,28,114
130501,1305,1,1986,29,102
130502,1305,1,1992,35,154
130601,1306,1,1982,19,126
130602,1306,1,1986,23,-3
130603,1306,1,1989,26,105
130604,1306,2,1999,36,118
130801,1308,1,1977,16,105
130802,1308,1,1979,18,128
130803,1308,2,1980,19,108
131001,1310,2,1992,31,89
131002,1310,1,1995,33,95
131003,1310,2,1998,36,127
131201,1312,1,1977,20,113
131301,1313,2,1981,20,83
131302,1313,1,1993,31,104
132201,1322,1,1985,27,97
132301,1323,1,1992,30,137
132302,1323,1,1994,32,127
132401,1324,2,1986,23,149
132402,1324,2,1988,25,149
132403,1324,1,1990,27,137
132404,1324,2,1995,32,-3
132405,1324,2,1999,37,137
132601,1326,2,1998,35,109
132602,1326,1,2000,37,111
