"C0000100","C0000200","C0005400","C0005700","C0007000","C0328600"
658703,6587,2,1982,23,116
658704,6587,1,1984,25,117
659001,6590,2,1982,21,106
659002,6590,1,1987,26,108
659101,6591,1,1980,18,139
659102,6591,2,1984,22,109
659103,6591,1,1986,24,131
659104,6591,2,1988,26,115
659201,6592,2,1983,19,106
659202,6592,1,1985,21,-3
659203,6592,2,1989,25,122
660201,6602,1,1981,17,110
660202,6602,2,1982,18,91
660203,6602,1,1986,22,100
660401,6604,2,1979,18,105
660402,6604,1,1983,22,124
660403,6604,2,1997,36,-7
660404,6604,2,2004,43,-7
660501,6605,1,1984,23,115
660502,6605,2,1986,25,-3
660601,6606,1,1977,17,106
660602,6606,1,1979,20,116
660603,6606,1,1981,22,122
660604,6606,2,1987,28,102
660901,6609,1,1982,22,98
660902,6609,2,1986,26,104
661001,6610,1,1980,21,102
661002,6610,2,1983,23,116
661003,6610,1,1987,27,132
661004,6610,2,1988,28,122
661101,6611,2,1981,20,93
661201,6612,2,1983,21,95
661202,6612,1,1985,22,118
661301,6613,2,1988,23,-3
661302,6613,1,1988,23,-3
661401,6614,2,1985,20,88
661402,6614,1,1987,23,115
661403,6614,2,1987,23,-3
661501,6615,2,1979,19,105
661502,6615,1,1981,21,114
661801,6618,1,1974,17,92
661802,6618,1,1976,19,111
661803,6618,1,1978,21,117
661804,6618,1,1980,22,120
661805,6618,1,1982,25,127
661806,6618,1,1985,28,118
661807,6618,2,1988,30,113
662201,6622,2,1982,21,108
662202,6622,2,1984,23,83
662203,6622,1,1988,28,125
662701,6627,2,1990,32,128
662801,6628,2,1978,20,96
662802,6628,2,1981,23,128
662901,6629,2,1980,19,133
662902,6629,2,1984,23,132
662903,6629,2,1985,24,136
662904,6629,2,1989,28,126
663001,6630,2,1983,20,107
663002,6630,2,1986,24,-3
663701,6637,2,1981,17,137
663702,6637,2,1985,20,128
663801,6638,1,1977,20,94
663802,6638,2,1978,21,87
663901,6639,1,1987,29,96
663902,6639,1,1987,29,102
663903,6639,1,1988,30,116
664101,6641,2,1980,20,108
664102,6641,1,1982,22,119
664201,6642,1,1974,16,127
664202,6642,1,1978,20,129
664203,6642,2,1983,26,163
664301,6643,1,1972,14,117
664302,6643,1,1973,15,131
664303,6643,2,1981,23,121
664401,6644,1,1982,21,109
664402,6644,1,1987,27,128
664501,6645,1,1989,29,99
664502,6645,1,1991,31,96
664601,6646,1,1997,34,-7
664602,6646,1,2002,40,-7
664701,6647,1,1991,30,125
664702,6647,2,1993,32,104
665101,6651,2,1984,21,84
665102,6651,1,1999,36,-3
665201,6652,1,1989,25,117
665401,6654,2,1979,22,103
665402,6654,2,1986,28,103
665403,6654,1,1991,33,151
665801,6658,2,1977,17,38
665802,6658,1,1985,25,87
665803,6658,2,1991,31,103
665901,6659,2,1979,18,134
665902,6659,2,1981,21,152
666201,6662,1,1986,24,99
666202,6662,1,1992,30,-3
666203,6662,1,1997,35,130
666401,6664,1,1979,16,112
666501,6665,2,1980,20,100
666502,6665,2,1984,24,-2
666601,6666,1,1990,28,120
666701,6667,2,1984,21,109
666702,6667,1,1987,24,114
666801,6668,2,1987,23,62
666802,6668,1,1990,26,-1
666901,6669,2,1983,18,115
666902,6669,2,1991,26,116
666903,6669,2,1993,28,-3
667101,6671,1,1980,18,105
667102,6671,1,1985,23,88
667103,6671,1,1989,28,-3
667104,6671,2,1990,29,-3
667105,6671,1,1994,32,-3
667106,6671,1,1987,25,-7
667201,6672,1,1977,16,101
667202,6672,2,1981,20,114
667203,6672,2,1993,33,101
667401,6674,2,1980,23,105
667402,6674,1,1982,24,125
667403,6674,2,1986,28,119
667501,6675,1,1982,19,86
667502,6675,1,1985,21,92
667503,6675,1,1988,24,113
667601,6676,1,1979,17,113
667602,6676,1,1981,20,112
667603,6676,1,1984,22,125
668401,6684,2,1976,17,-2
668402,6684,2,1981,22,64
668403,6684,2,1990,31,107
668501,6685,2,1980,18,93
669201,6692,2,1986,-3,-3
669202,6692,1,1988,-3,-3
669301,6693,2,1987,26,148
669302,6693,1,1991,29,148
669401,6694,1,1978,20,115
669501,6695,2,1983,23,131
669502,6695,2,1989,28,-2
669901,6699,1,1983,24,120
669902,6699,2,1988,30,127
670301,6703,2,1990,29,103
670302,6703,1,1991,30,147
670303,6703,2,1996,35,115
670401,6704,1,1980,20,153
670402,6704,1,1988,27,-2
670403,6704,2,1989,29,141
670701,6707,2,1992,34,101
670702,6707,2,1993,35,-3
670703,6707,2,1995,37,109
670801,6708,1,1998,33,92
670901,6709,2,1981,20,116
670902,6709,2,1984,22,115
670903,6709,1,1997,35,114
671101,6711,1,1982,19,122
671102,6711,1,1989,25,124
671201,6712,2,1989,30,127
671202,6712,2,1990,31,137
671401,6714,1,1979,15,141
671801,6718,1,2002,39,-7
672001,6720,2,1983,25,118
672201,6722,1,1976,18,121
672501,6725,2,1987,24,112
672502,6725,2,1993,29,96
673001,6730,1,1982,20,131
673101,6731,2,1996,33,82
673401,6734,2,1981,24,77
673402,6734,1,1987,30,112
673801,6738,1,1995,33,116
673802,6738,1,1999,37,116
674001,6740,2,1978,18,96
674101,6741,2,1988,27,71
674201,6742,1,1984,24,133
674202,6742,2,1987,27,-3
674203,6742,1,1988,28,110
674401,6744,2,1981,18,144
674402,6744,1,1983,20,137
674501,6745,2,1986,22,142
674502,6745,1,1989,24,146
674701,6747,1,1982,21,102
674702,6747,2,1984,23,79
674901,6749,2,1979,18,141
674902,6749,1,1980,20,124
674903,6749,1,1982,22,112
674904,6749,1,1986,26,56
675201,6752,2,1980,18,153
675202,6752,2,1987,25,128
675203,6752,2,1988,26,128
675204,6752,2,1995,33,156
675205,6752,2,1997,35,161
675301,6753,2,1985,24,123
675302,6753,1,1996,36,-7
675501,6755,1,1983,19,103
675502,6755,2,1989,25,117
675601,6756,1,1981,23,141
675602,6756,2,1983,25,111
675701,6757,1,1981,20,134
675801,6758,1,1978,21,85
675802,6758,1,1981,24,120
676101,6761,1,1979,18,118
676301,6763,1,2000,42,49
676501,6765,1,1987,24,134
676502,6765,1,1994,30,-3
676701,6767,2,1987,27,104
676702,6767,1,1989,29,129
677201,6772,1,1979,19,112
677202,6772,2,1981,21,111
677301,6773,1,1978,19,115
677302,6773,1,1983,24,122
677303,6773,1,1988,29,124
677401,6774,2,1982,23,118
677402,6774,2,1984,24,-3
677403,6774,1,1986,27,-3
677404,6774,1,1989,30,130
677405,6774,2,1991,31,99
677701,6777,2,1982,23,119
677702,6777,1,1984,26,-7
677703,6777,2,1992,33,-7
678001,6780,1,1986,21,128
678002,6780,2,2005,41,133
678301,6783,2,1982,20,106
678302,6783,1,1988,26,141
678701,6787,1,1975,16,119
678702,6787,1,1976,17,103
678703,6787,1,1978,19,101
678704,6787,2,1990,31,108
678801,6788,2,1979,16,69
678802,6788,2,1981,18,66
678803,6788,1,1991,28,120
678804,6788,2,1997,34,109
679701,6797,2,1978,15,-3
680701,6807,2,1980,17,116
680702,6807,1,1985,22,134
680703,6807,2,1988,25,-2
681001,6810,1,1981,19,112
681401,6814,1,1986,23,73
681601,6816,2,1985,27,117
681602,6816,2,1986,28,129
681701,6817,2,1993,30,141
681702,6817,1,1994,32,115
682501,6825,2,1976,16,116
682502,6825,2,1985,25,106
682601,6826,1,1997,33,109
682602,6826,1,2000,36,109
682801,6828,1,1972,15,123
682802,6828,2,1974,16,53
682803,6828,1,1977,20,100
682901,6829,2,1982,24,110
682902,6829,1,1986,28,108
682903,6829,2,1995,37,148
683201,6832,2,1981,22,93
683202,6832,2,1982,23,102
683501,6835,2,1996,31,112
683901,6839,2,1989,28,133
683902,6839,1,1991,30,111
683903,6839,1,1994,33,138
684201,6842,2,1989,27,134
684202,6842,1,1992,30,-3
684203,6842,1,1994,32,126
684501,6845,2,1980,21,133
684502,6845,2,1981,22,114
684503,6845,2,1983,24,124
684701,6847,2,1981,17,106
684702,6847,1,1984,20,114
684703,6847,1,1985,21,84
684704,6847,1,1988,23,115
684705,6847,1,1993,28,114
685201,6852,1,1997,39,107
685202,6852,2,2002,44,-3
685401,6854,2,1982,20,73
685402,6854,2,1982,20,72
685601,6856,2,1985,26,120
685602,6856,2,1990,30,130
685603,6856,2,1992,32,-3
685801,6858,2,1978,15,114
685802,6858,2,1979,16,110
685803,6858,1,1980,17,137
685804,6858,1,1981,18,110
685805,6858,2,1983,20,120
685806,6858,2,1984,21,95
686201,6862,2,1978,20,132
686202,6862,2,1985,27,107
686203,6862,2,1990,31,123
686204,6862,2,1997,38,135
686601,6866,1,1975,18,-3
687001,6870,2,1991,29,-2
687002,6870,1,1993,31,117
687501,6875,1,1985,21,132
687601,6876,1,1986,21,124
687602,6876,1,1989,25,107
687701,6877,2,1998,36,-7
687702,6877,1,1999,38,-7
688001,6880,1,1990,31,160
688002,6880,1,1993,33,-3
688101,6881,2,1985,26,147
688102,6881,1,1992,34,-3
688103,6881,2,1999,40,126
688501,6885,1,1985,22,107
688502,6885,1,1994,30,-3
688701,6887,2,1998,37,123
689001,6890,1,1980,19,64
689002,6890,2,1988,27,89
689101,6891,1,1986,23,120
689102,6891,2,1990,27,136
690101,6901,1,1990,28,91
690501,6905,2,1998,38,-7
691301,6913,1,1990,29,104
691302,6913,1,1993,33,83
691303,6913,1,1999,38,103
691501,6915,1,2000,42,88
691601,6916,2,1975,18,96
691602,6916,2,1976,19,99
691603,6916,1,1978,21,99
691604,6916,1,1979,22,132
691701,6917,1,1980,21,137
691702,6917,2,1987,28,129
691901,6919,2,1983,22,46
691902,6919,1,1987,26,104
692001,6920,1,1980,17,111
692002,6920,2,1981,19,111
692003,6920,2,1983,20,39
692004,6920,1,1987,25,171
693001,6930,1,1980,21,136
693002,6930,2,1984,24,112
693003,6930,1,1987,28,123
693101,6931,1,1981,23,100
693301,6933,1,1990,25,63
693701,6937,2,1987,23,98
693702,6937,2,1988,24,75
693901,6939,2,1991,34,127
693902,6939,2,1995,38,117
694001,6940,1,1986,28,134
694002,6940,1,1989,31,138
694301,6943,2,1976,17,107
694302,6943,1,1977,19,33
694501,6945,2,1984,23,136
694502,6945,2,1988,27,160
694801,6948,2,1979,22,97
694802,6948,2,1985,28,110
695001,6950,1,1981,19,106
695002,6950,1,1986,24,132
695003,6950,1,2000,38,-7
695101,6951,1,1991,28,121
695102,6951,1,1994,30,125
695201,6952,1,1982,19,126
695202,6952,2,1985,22,103
695301,6953,1,1985,21,132
695302,6953,1,1987,22,144
695303,6953,2,1992,27,135
695304,6953,2,1998,33,120
695601,6956,2,1982,22,124
695602,6956,2,1983,24,123
695603,6956,2,1986,26,132
695701,6957,2,1989,28,99
695702,6957,2,1991,30,103
696201,6962,2,1979,17,137
696202,6962,2,1983,20,98
696203,6962,1,1981,19,106
696301,6963,1,1980,18,103
696302,6963,2,1982,20,93
696303,6963,1,1987,25,129
696501,6965,2,1982,19,122
696502,6965,2,1983,20,132
696503,6965,1,1984,21,152
696601,6966,1,1982,18,99
696602,6966,1,1992,28,70
696603,6966,2,1997,33,100
696701,6967,2,1978,18,108
696702,6967,1,1982,22,109
696703,6967,2,1987,26,-3
696704,6967,2,1989,29,104
696705,6967,2,1990,30,93
696706,6967,2,1992,31,89
696801,6968,2,1996,34,131
697001,6970,1,1975,18,96
697002,6970,2,1994,37,-3
697101,6971,2,1981,20,84
697102,6971,1,1987,26,113
697103,6971,1,1993,32,101
698301,6983,2,1986,27,-2
698302,6983,2,1988,29,142
698901,6989,2,1979,20,108
698902,6989,1,1983,24,141
699201,6992,2,1984,21,98
699202,6992,2,1986,24,109
699203,6992,1,1989,27,105
699401,6994,1,1977,17,114
699501,6995,2,1977,17,32
699502,6995,2,1979,18,96
699503,6995,2,1981,21,96
699504,6995,1,1976,16,99
700001,7000,1,1983,24,76
700002,7000,2,1985,26,111
700003,7000,2,1988,29,86
700004,7000,2,1992,33,86
700201,7002,1,1980,19,54
700202,7002,2,1987,25,104
700203,7002,1,1988,27,109
700601,7006,2,1977,18,111
700602,7006,2,1980,21,139
700603,7006,1,1983,24,143
701201,7012,2,1977,19,111
701501,7015,2,1975,16,125
701502,7015,2,1976,17,108
701503,7015,1,1979,21,111
701504,7015,1,1983,24,112
701601,7016,1,1986,29,121
701901,7019,2,1984,26,110
701902,7019,2,1985,28,106
702001,7020,2,1983,23,89
702101,7021,2,1989,30,119
702201,7022,1,1982,20,102
702202,7022,2,1980,18,128
702203,7022,2,1985,23,118
702801,7028,1,1984,21,119
702802,7028,1,1988,24,100
703001,7030,2,1984,21,116
703101,7031,2,1983,19,134
703102,7031,1,1987,23,116
703201,7032,2,1981,20,62
703401,7034,2,1985,20,124
703402,7034,2,1988,23,124
703403,7034,2,1990,25,108
703801,7038,1,1984,20,123
703802,7038,2,1986,22,125
703901,7039,1,1983,21,42
703902,7039,1,1985,23,128
703903,7039,2,1988,26,123
704201,7042,1,1978,17,137
704501,7045,2,1976,17,109
704502,7045,2,1978,20,113
704503,7045,1,1979,21,106
704601,7046,2,1983,18,115
704602,7046,1,1984,19,114
704603,7046,1,1989,24,140
704801,7048,1,2004,40,137
704901,7049,2,1980,18,111
704902,7049,2,1985,23,113
704903,7049,1,1999,37,-3
704904,7049,2,2003,41,-7
705101,7051,1,1979,17,32
705201,7052,2,1984,20,136
705301,7053,2,1975,17,103
705302,7053,1,1976,18,100
705303,7053,1,1978,19,118
705304,7053,1,1984,26,133
705305,7053,2,1988,30,102
705401,7054,2,1981,23,105
705501,7055,1,1984,21,129
705801,7058,2,1980,21,103
706401,7064,2,1981,20,99
706402,7064,1,1993,32,166
706501,7065,1,1978,16,120
706502,7065,1,1987,25,86
706503,7065,1,1987,25,81
706601,7066,2,1976,16,121
706602,7066,2,1977,17,97
706603,7066,2,1979,19,97
706604,7066,1,1980,20,101
706605,7066,2,1981,21,101
707301,7073,2,1985,21,112
707302,7073,1,1989,26,164
707303,7073,1,1991,28,144
707401,7074,2,1978,19,75
707402,7074,2,1986,27,104
707501,7075,2,1986,27,109
707502,7075,2,1989,30,109
707701,7077,1,1979,21,143
707702,7077,2,1982,23,135
707703,7077,2,1983,24,105
708101,7081,2,1986,23,123
708102,7081,1,1992,29,133
708401,7084,1,1985,28,125
708402,7084,1,1987,29,147
708403,7084,2,1989,32,135
708501,7085,1,1979,20,118
708502,7085,1,1980,21,155
708503,7085,1,1986,27,118
708601,7086,1,1990,30,105
708602,7086,1,1991,31,106
708603,7086,1,1994,34,129
708801,7088,1,1978,18,119
708802,7088,1,1980,21,122
708803,7088,1,1984,24,134
708804,7088,1,1988,28,119
708901,7089,1,1977,17,80
708902,7089,2,1980,20,88
708903,7089,1,1982,21,19
708904,7089,2,1991,31,99
708905,7089,1,1994,33,73
709201,7092,2,1978,17,78
709401,7094,1,1974,17,121
709402,7094,2,1979,22,117
709403,7094,2,1982,24,99
709701,7097,2,1974,16,120
709801,7098,2,1976,17,107
709802,7098,2,1985,26,72
710201,7102,1,1986,25,113
710202,7102,2,1987,26,115
710501,7105,1,1981,21,111
710502,7105,1,1990,29,80
710601,7106,2,1997,33,51
711101,7111,2,1986,21,42
711102,7111,2,1986,21,96
711501,7115,1,1983,20,124
711502,7115,1,1985,21,130
711601,7116,2,1976,17,103
711602,7116,1,1980,21,130
711603,7116,1,1981,23,114
711801,7118,1,1998,35,-7
712001,7120,2,1986,26,-3
712301,7123,2,1986,24,131
712302,7123,2,1988,25,127
712303,7123,2,1995,32,124
712401,7124,1,1975,17,125
712402,7124,1,1985,27,134
712601,7126,1,1978,19,99
712602,7126,1,1979,20,118
712603,7126,2,1981,22,135
712701,7127,1,1981,21,110
712702,7127,1,1983,23,104
712703,7127,2,1985,25,90
712704,7127,1,1997,36,103
712801,7128,1,1979,18,127
712802,7128,2,1981,19,110
713001,7130,2,1978,18,104
713002,7130,2,1983,23,88
713701,7137,1,1993,32,117
713702,7137,2,1994,33,116
713801,7138,1,1975,18,103
713802,7138,1,1977,19,56
713803,7138,1,1985,27,120
713901,7139,1,1984,24,154
713902,7139,2,1985,25,113
713903,7139,2,1987,28,101
714401,7144,2,1980,17,104
714402,7144,1,1987,25,119
714601,7146,1,1986,23,133
714602,7146,2,1991,28,117
714701,7147,1,1991,28,120
714801,7148,1,1984,26,116
714802,7148,2,1986,28,134
715201,7152,1,1983,22,111
715202,7152,1,1986,24,133
715203,7152,1,1990,29,141
715204,7152,2,1994,33,127
715301,7153,2,1982,20,102
715302,7153,2,1989,27,84
715601,7156,1,1983,19,113
715602,7156,1,1985,21,125
715603,7156,1,1990,25,115
715701,7157,1,1976,17,107
715702,7157,1,1982,22,93
715801,7158,1,1975,15,114
715802,7158,1,1977,16,116
715803,7158,2,1980,19,114
715804,7158,1,1991,30,116
715805,7158,1,1995,34,132
716001,7160,1,1988,25,123
716301,7163,1,1978,21,98
716302,7163,2,1984,26,90
716303,7163,1,1988,31,100
716304,7163,1,1991,33,81
716601,7166,2,1992,28,109
716602,7166,2,1994,30,98
716701,7167,2,1974,17,64
716702,7167,2,1984,27,127
716901,7169,2,1974,16,126
716902,7169,1,1976,18,35
716903,7169,2,1976,18,16
716904,7169,2,1980,22,115
717001,7170,2,1977,17,104
717002,7170,2,1982,22,92
717003,7170,1,1989,29,118
717101,7171,2,1992,31,104
717102,7171,2,1998,37,104
717401,7174,1,1988,26,115
717402,7174,1,1994,32,103
717501,7175,1,1987,26,-3
717901,7179,1,1979,17,125
717902,7179,1,1982,20,120
717903,7179,2,1985,23,107
718001,7180,2,1979,19,90
718002,7180,2,1984,24,89
718101,7181,1,1980,20,120
718301,7183,2,1984,23,86
718302,7183,2,1986,25,92
718303,7183,2,1988,27,53
718401,7184,2,1981,19,113
718402,7184,2,1986,23,127
718403,7184,1,1988,25,122
718404,7184,2,1992,30,113
718601,7186,1,1986,21,99
718602,7186,1,1994,29,16
718901,7189,1,1983,23,112
718902,7189,2,1989,28,108
718903,7189,1,1990,30,108
719201,7192,2,1977,20,112
719401,7194,1,1984,21,109
719402,7194,2,1986,23,-3
719701,7197,2,1978,17,102
719702,7197,1,1981,20,97
719801,7198,1,1978,16,83
719802,7198,2,1984,22,106
719803,7198,2,1989,27,106
719901,7199,2,1977,18,72
720201,7202,1,1990,32,112
720701,7207,1,1975,15,117
720702,7207,1,1977,17,134
720703,7207,1,1980,21,141
720704,7207,1,1981,22,141
720901,7209,2,1979,17,127
720902,7209,2,1984,22,-3
721101,7211,1,1993,29,77
721102,7211,1,1994,30,136
721401,7214,2,1982,19,114
721402,7214,2,2001,38,-3
721501,7215,1,1985,22,136
721502,7215,2,1993,30,139
721601,7216,1,1978,17,120
721701,7217,2,1977,17,100
721702,7217,1,1978,18,104
721703,7217,2,1981,21,104
721704,7217,2,1982,22,100
721705,7217,1,1984,24,48
721706,7217,1,1992,32,104
722001,7220,1,1980,18,126
722002,7220,1,1981,19,96
722003,7220,1,1983,21,130
722004,7220,1,1985,23,106
722401,7224,2,1992,29,112
722601,7226,2,1984,23,108
722602,7226,2,1987,26,-3
722801,7228,2,1986,22,114
722802,7228,2,1991,27,84
722803,7228,1,1995,30,71
723101,7231,2,1993,31,129
723201,7232,1,1980,18,125
723202,7232,1,2006,45,126
723501,7235,2,1986,27,109
723502,7235,2,1987,28,127
723503,7235,2,1997,38,119
723601,7236,1,1994,30,118
723602,7236,1,1995,31,129
724101,7241,2,1991,28,113
724102,7241,1,1994,32,-3
724401,7244,2,1982,18,133
724402,7244,2,1983,19,112
724403,7244,1,1985,21,90
724501,7245,2,1989,30,105
724601,7246,2,1983,21,61
724602,7246,2,1986,24,108
724603,7246,1,1993,31,128
724701,7247,2,1985,22,99
724901,7249,2,1977,16,137
724902,7249,1,1988,27,-3
724903,7249,2,1998,37,-3
724904,7249,2,1998,37,-3
725201,7252,2,1974,16,86
725202,7252,1,1981,23,-3
725301,7253,2,1981,17,115
725302,7253,1,1982,19,101
725303,7253,1,1986,22,134
725501,7255,1,1980,17,124
725601,7256,1,1981,16,111
725602,7256,2,1983,19,110
725603,7256,1,1985,21,117
725604,7256,1,1988,23,-3
725801,7258,2,1980,17,102
725802,7258,1,1982,19,86
725901,7259,1,1985,21,109
725902,7259,1,1987,23,-3
725903,7259,1,1988,24,85
725904,7259,1,1994,30,113
725905,7259,2,1996,31,96
726301,7263,1,1982,18,135
726302,7263,2,1984,19,-3
726303,7263,2,1985,21,128
726304,7263,2,1987,23,104
726305,7263,1,1989,25,119
726306,7263,2,1991,27,102
726307,7263,1,1992,28,134
726308,7263,2,1994,29,134
726309,7263,1,1998,34,-3
726310,7263,1,2000,36,-3
726311,7263,2,2002,38,-7
726401,7264,1,1984,22,112
727501,7275,1,1978,16,127
727502,7275,2,1982,20,116
727503,7275,2,1985,23,102
727601,7276,1,1979,16,124
727602,7276,2,1984,20,107
727801,7278,1,1975,18,103
727802,7278,1,1979,21,99
727803,7278,1,1982,25,97
727804,7278,2,1991,34,-3
728201,7282,1,1980,17,126
728301,7283,1,1981,18,97
728401,7284,1,1988,24,164
728501,7285,1,1988,25,100
728502,7285,2,1990,27,116
728503,7285,2,1997,33,126
728504,7285,1,2004,41,123
728601,7286,2,1991,28,118
728602,7286,1,1996,33,146
729101,7291,2,1980,20,114
729501,7295,1,1976,18,118
729502,7295,1,1979,21,109
730001,7300,1,1994,32,38
730201,7302,2,1979,21,119
730202,7302,1,1980,22,125
730203,7302,2,1984,26,117
730301,7303,2,1978,16,96
730401,7304,1,1984,25,146
730402,7304,1,1990,30,132
730501,7305,2,1975,17,123
730502,7305,2,1986,28,114
730801,7308,2,1978,17,114
730802,7308,2,1986,25,-3
731001,7310,1,1980,21,109
731002,7310,1,1981,21,94
731003,7310,1,1982,23,113
731004,7310,1,1983,24,113
731401,7314,1,1974,17,68
731402,7314,2,1996,38,-3
731403,7314,1,2002,44,-3
731601,7316,1,1975,18,120
731602,7316,2,1990,33,118
731603,7316,1,1992,35,-3
731701,7317,1,1987,25,71
731702,7317,1,1989,27,108
732201,7322,2,1984,20,114
732202,7322,1,1987,23,123
732203,7322,1,1993,29,-3
732301,7323,2,1979,17,120
732302,7323,2,1986,23,120
732401,7324,2,1980,16,129
732402,7324,2,1982,17,139
732403,7324,2,1983,19,126
732404,7324,1,1988,24,113
732405,7324,2,1989,25,118
732406,7324,1,1992,28,101
732501,7325,1,1982,18,118
732502,7325,1,1984,19,134
732503,7325,1,1989,24,134
732504,7325,2,1991,26,113
732505,7325,1,1992,28,113
732701,7327,2,1984,24,97
733101,7331,1,1977,19,149
733102,7331,2,1984,26,100
733103,7331,2,1987,29,119
733901,7339,1,1985,26,110
733902,7339,1,1988,29,121
734101,7341,2,1978,19,117
734401,7344,1,1986,28,119
734402,7344,2,1988,29,118
734501,7345,1,1982,23,129
734502,7345,1,1985,26,145
734503,7345,1,1988,29,-3
734801,7348,2,1979,17,101
735001,7350,2,1973,15,97
735002,7350,2,1976,18,100
735003,7350,2,1981,22,121
735201,7352,2,1975,17,85
735501,7355,2,1983,19,125
735502,7355,2,1985,21,124
735801,7358,2,1983,21,104
735802,7358,2,1984,23,97
735803,7358,2,1987,25,115
735901,7359,1,1981,18,113
735902,7359,1,1983,20,108
735903,7359,2,1988,25,102
736701,7367,1,1979,15,112
736702,7367,2,1983,19,108
736703,7367,1,1987,23,119
736704,7367,2,1989,25,40
736801,7368,2,2000,39,114
737501,7375,2,1979,20,95
737502,7375,1,1982,23,95
737601,7376,1,1977,15,67
737602,7376,2,1985,23,115
737701,7377,1,1982,25,117
737702,7377,1,1991,33,117
737801,7378,1,1983,24,120
737802,7378,2,1996,36,134
738201,7382,1,1985,23,124
738301,7383,1,1985,22,101
738302,7383,1,1992,28,-3
738801,7388,1,1983,20,72
738802,7388,2,1985,23,114
738901,7389,1,1981,22,111
738902,7389,1,1985,25,113
738903,7389,2,1986,27,114
739001,7390,1,1986,23,120
739002,7390,1,1988,24,104
739003,7390,2,1992,29,-3
739101,7391,2,1975,17,115
739102,7391,2,1984,26,126
739201,7392,1,1975,16,103
739301,7393,2,1992,33,150
739302,7393,2,1994,36,-3
739401,7394,1,1990,26,139
739601,7396,2,1993,29,121
739602,7396,2,1999,35,128
739603,7396,2,2000,36,-3
740301,7403,2,1976,15,144
740801,7408,1,1982,19,106
740802,7408,2,1986,24,-2
740901,7409,2,1981,24,143
740902,7409,2,1986,28,125
741401,7414,1,1983,24,102
741402,7414,1,1988,29,129
741501,7415,2,1975,18,118
741502,7415,2,1983,25,129
741801,7418,1,1995,31,128
741802,7418,1,1997,33,128
741803,7418,2,2000,36,-3
742001,7420,2,1987,28,132
742002,7420,1,1989,30,132
742101,7421,2,1988,25,134
742201,7422,1,1994,30,121
742301,7423,1,1995,31,119
742302,7423,1,1998,34,123
742601,7426,1,1985,26,134
742602,7426,1,1992,33,128
742801,7428,1,1989,25,120
743001,7430,2,1977,17,126
743002,7430,2,1988,27,113
743201,7432,1,1980,19,120
743301,7433,2,1975,16,90
743302,7433,1,1977,18,91
743303,7433,1,1979,20,82
743304,7433,2,1981,22,96
743501,7435,2,1993,33,90
743502,7435,2,1995,35,148
743601,7436,1,1980,20,128
743602,7436,2,1985,25,96
743701,7437,2,1989,28,97
743702,7437,1,1999,38,-3
743801,7438,1,1982,20,88
743802,7438,2,1983,21,105
743803,7438,2,1985,23,30
743901,7439,1,1985,21,-3
743902,7439,1,1987,23,117
744101,7441,2,1978,14,108
744102,7441,2,1979,15,83
744103,7441,2,1989,25,116
744201,7442,1,1972,15,126
744202,7442,1,1974,16,67
744301,7443,2,1981,19,111
744302,7443,2,1983,22,86
744303,7443,1,2000,38,109
744501,7445,2,1993,31,139
744502,7445,1,1994,32,-3
744601,7446,1,1991,28,98
744602,7446,1,1993,30,-3
744701,7447,1,1975,17,100
744702,7447,2,1976,18,81
744703,7447,1,1980,22,132
744704,7447,1,1984,26,145
744801,7448,1,1982,18,131
744802,7448,2,1988,24,116
744803,7448,2,1989,25,116
744804,7448,1,1991,27,90
744805,7448,1,1991,27,92
744901,7449,2,1979,16,102
744902,7449,1,1990,27,110
744903,7449,2,1997,34,110
745001,7450,2,1983,20,46
745002,7450,2,1985,22,102
745101,7451,1,1981,19,119
745102,7451,2,1983,21,105
745103,7451,2,1991,29,108
745104,7451,1,1993,31,-3
745201,7452,2,1979,21,118
745301,7453,1,1980,23,127
745302,7453,1,1983,26,99
745303,7453,2,1985,27,-2
745501,7455,1,1977,18,131
745502,7455,2,1981,22,120
745503,7455,2,1984,25,134
745504,7455,1,1988,29,153
745505,7455,1,1989,30,138
745506,7455,1,1993,34,-3
745507,7455,2,1994,35,-3
745801,7458,1,1993,35,118
745901,7459,1,1986,26,137
745902,7459,2,1990,30,69
745903,7459,1,1992,33,-3
745904,7459,2,1998,38,134
746001,7460,2,1977,16,102
746002,7460,1,1984,23,110
746003,7460,2,1985,24,-3
746004,7460,2,1991,30,-3
746201,7462,2,1985,21,115
746202,7462,2,1987,23,125
746203,7462,1,1989,24,111
746401,7464,1,1977,18,111
746402,7464,1,1979,21,76
746403,7464,2,1986,27,101
746404,7464,2,1987,29,96
746801,7468,1,1976,16,143
746802,7468,1,1977,17,119
746803,7468,1,1981,21,126
747001,7470,2,1977,16,108
747002,7470,2,1981,20,93
747003,7470,1,1982,21,80
747004,7470,1,1986,25,141
747501,7475,1,1990,27,117
747502,7475,2,1994,32,-3
747701,7477,1,1991,32,76
747702,7477,1,1995,36,-3
747901,7479,2,1986,24,119
747902,7479,1,1989,28,139
748001,7480,2,1980,17,135
748002,7480,2,1982,18,145
748003,7480,1,1989,25,150
748101,7481,1,1982,20,119
748102,7481,1,1986,24,123
748501,7485,1,1982,19,129
748502,7485,1,1985,22,167
749001,7490,1,1987,23,123
749201,7492,2,1984,21,126
749301,7493,1,1978,19,136
749302,7493,2,1980,22,118
749303,7493,1,1981,23,143
749401,7494,2,1981,18,88
